# en.txt - English Phoneme Database
# Format: CHAR ; CODEPOINT ; CATEGORY ; SUBCATEGORY ; HE_LABEL ; HE_DESC ; EN_LABEL ; EN_DESC
# Unified format for bilingual search
# ═══════════════════════════════════════════════════════════════════════════════════════════

# group: vowels-short
# subgroup: monophthongs
a     ; 0061 ; vowel        ; short-front  ; פתח קצר        ; תנועה קצרה a כמו cat     ; Short A        ; Short front vowel as in cat
e     ; 0065 ; vowel        ; short-mid    ; סגול קצר       ; תנועה קצרה e כמו bed     ; Short E        ; Short mid vowel as in bed
i     ; 0069 ; vowel        ; short-close  ; חיריק קצר      ; תנועה קצרה i כמו sit     ; Short I        ; Short close vowel as in sit
o     ; 006F ; vowel        ; short-back   ; חולם קצר       ; תנועה קצרה o כמו hot     ; Short O        ; Short back vowel as in hot
u     ; 0075 ; vowel        ; short-back   ; קובוץ קצר      ; תנועה קצרה u כמו put     ; Short U        ; Short back vowel as in put

# group: vowels-long
# subgroup: monophthongs
ā     ; 0101 ; vowel        ; long-front   ; פתח ארוך       ; תנועה ארוכה a כמו face   ; Long A         ; Long front vowel as in face
ē     ; 0113 ; vowel        ; long-mid     ; צירה ארוך      ; תנועה ארוכה e כמו feet   ; Long E         ; Long mid vowel as in feet
ī     ; 012B ; vowel        ; long-close   ; חיריק ארוך     ; תנועה ארוכה i כמו machine; Long I         ; Long close vowel as in machine
ō     ; 014D ; vowel        ; long-back    ; חולם ארוך      ; תנועה ארוכה o כמו go     ; Long O         ; Long back vowel as in go
ū     ; 016B ; vowel        ; long-back    ; שורוק ארוך     ; תנועה ארוכה u כמו blue   ; Long U         ; Long back vowel as in blue

# group: vowels-r-colored
# subgroup: rhotic
ar    ; -    ; vowel        ; r-colored    ; תנועת ר        ; תנועה עם r כמו car       ; Ar Sound       ; R-colored vowel as in car
er    ; -    ; vowel        ; r-colored    ; שווא ר         ; תנועה עם r כמו her       ; Er Sound       ; R-colored schwa as in her
ir    ; -    ; vowel        ; r-colored    ; חיריק ר        ; תנועה עם r כמו bird      ; Ir Sound       ; R-colored vowel as in bird
or    ; -    ; vowel        ; r-colored    ; חולם ר         ; תנועה עם r כמו for       ; Or Sound       ; R-colored vowel as in for
