# ipa.txt - IPA Universal Phoneme Database
# Format: CHAR ; CODEPOINT ; CATEGORY ; SUBCATEGORY ; HE_LABEL ; HE_DESC ; EN_LABEL ; EN_DESC
# Unified format for bilingual search
# ═══════════════════════════════════════════════════════════════════════════════════════════

# group: vowels-close
# subgroup: front
i     ; 0069 ; vowel        ; close-front  ; חיריק סגור     ; תנועה סגורה קדמית i      ; Close Front I  ; Close front unrounded vowel
y     ; 0079 ; vowel        ; close-front  ; סגור מעוגל     ; תנועה סגורה קדמית y      ; Close Front Y  ; Close front rounded vowel
ɪ     ; 026A ; vowel        ; near-close   ; חיריק קצר      ; תנועה כמעט סגורה         ; Near Close I   ; Near-close front unrounded
ʏ     ; 028F ; vowel        ; near-close   ; קרוב מעוגל     ; תנועה כמעט סגורה מעוגלת  ; Near Close Y   ; Near-close front rounded

# subgroup: central
ɨ     ; 0268 ; vowel        ; close-central; סגור מרכזי     ; תנועה סגורה מרכזית       ; Close Central I; Close central unrounded
ʉ     ; 0289 ; vowel        ; close-central; מרכזי מעוגל    ; תנועה סגורה מרכזית מעוגלת; Close Central U; Close central rounded

# subgroup: back
ɯ     ; 026F ; vowel        ; close-back   ; סגור אחורי     ; תנועה סגורה אחורית       ; Close Back U   ; Close back unrounded
u     ; 0075 ; vowel        ; close-back   ; שורוק סגור     ; תנועה סגורה אחורית u     ; Close Back Uu  ; Close back rounded vowel
ʊ     ; 028A ; vowel        ; near-close   ; קובוץ קצר      ; תנועה כמעט סגורה אחורית  ; Near Close U   ; Near-close back rounded

# group: vowels-mid
# subgroup: close-mid
e     ; 0065 ; vowel        ; close-mid    ; צירה בינוני    ; תנועה בינונית סגורה e    ; Close Mid E    ; Close-mid front unrounded
ø     ; 00F8 ; vowel        ; close-mid    ; בינוני מעוגל   ; תנועה בינונית סגורה מעוגל; Close Mid O    ; Close-mid front rounded
ɘ     ; 0258 ; vowel        ; close-mid    ; בינוני מרכזי   ; תנועה בינונית מרכזית     ; Close Mid Schwa; Close-mid central
ɵ     ; 0275 ; vowel        ; close-mid    ; מרכזי מעוגל    ; תנועה בינונית מרכזית מעוג; Close Mid Barred; Close-mid central rounded
ɤ     ; 0264 ; vowel        ; close-mid    ; בינוני אחורי   ; תנועה בינונית אחורית     ; Close Mid Ram  ; Close-mid back unrounded
o     ; 006F ; vowel        ; close-mid    ; חולם בינוני    ; תנועה בינונית סגורה o    ; Close Mid O    ; Close-mid back rounded

# subgroup: mid
ə     ; 0259 ; vowel        ; mid-central  ; שווא מרכזי     ; תנועה מרכזית ניטרלית     ; Schwa          ; Mid central vowel schwa

# subgroup: open-mid
ɛ     ; 025B ; vowel        ; open-mid     ; סגול פתוח      ; תנועה בינונית פתוחה e    ; Open Mid E     ; Open-mid front unrounded
œ     ; 0153 ; vowel        ; open-mid     ; פתוח מעוגל     ; תנועה בינונית פתוחה מעוגל; Open Mid Oe    ; Open-mid front rounded
ɜ     ; 025C ; vowel        ; open-mid     ; פתוח מרכזי     ; תנועה בינונית פתוחה מרכזי; Open Mid Rev   ; Open-mid central
ɞ     ; 025E ; vowel        ; open-mid     ; מרכזי מעוגל פת ; תנועה בינונית מרכזית מעוג; Open Mid Closed; Open-mid central rounded
ʌ     ; 028C ; vowel        ; open-mid     ; פתוח אחורי     ; תנועה בינונית פתוחה אחור ; Open Mid Wedge ; Open-mid back unrounded
ɔ     ; 0254 ; vowel        ; open-mid     ; חולם פתוח      ; תנועה בינונית פתוחה o    ; Open Mid O     ; Open-mid back rounded

# group: vowels-open
# subgroup: near-open
æ     ; 00E6 ; vowel        ; near-open    ; פתח קרוב       ; תנועה כמעט פתוחה         ; Near Open Ae   ; Near-open front unrounded
ɐ     ; 0250 ; vowel        ; near-open    ; פתוח מרכזי     ; תנועה כמעט פתוחה מרכזית  ; Near Open A    ; Near-open central

# subgroup: open
a     ; 0061 ; vowel        ; open-front   ; פתח פתוח       ; תנועה פתוחה קדמית a      ; Open Front A   ; Open front unrounded
ɶ     ; 0276 ; vowel        ; open-front   ; פתוח מעוגל קד  ; תנועה פתוחה קדמית מעוגלת ; Open Front Oe  ; Open front rounded
ɑ     ; 0251 ; vowel        ; open-back    ; קמץ פתוח       ; תנועה פתוחה אחורית       ; Open Back A    ; Open back unrounded
ɒ     ; 0252 ; vowel        ; open-back    ; פתוח מעוגל אח  ; תנועה פתוחה אחורית מעוגלת; Open Back O    ; Open back rounded

# group: consonants-plosives
# subgroup: bilabial
p     ; 0070 ; consonant    ; plosive      ; פא סותם        ; עיצור סותם שפתי אטום     ; Plosive P      ; Voiceless bilabial plosive
