# symbols.txt - Unicode Symbols Database
# Format: CHAR ; CODEPOINT ; CATEGORY ; SUBCATEGORY ; HE_LABEL ; HE_DESC ; EN_LABEL ; EN_DESC
# Each symbol has unique searchable labels in Hebrew and English
# ═══════════════════════════════════════════════════════════════════════════════════════════

# group: hebrew-punctuation
# subgroup: marks
₪     ; 20AA  ; currency     ; shekel       ; שקל חדש            ; סימן המטבע הישראלי           ; New Shekel         ; Israeli currency symbol
״     ; 05F4  ; punctuation  ; quotation    ; גרשיים             ; מירכאות עבריות כפולות        ; Gershayim          ; Hebrew double quotation mark
׳     ; 05F3  ; punctuation  ; quotation    ; גרש                ; סימן קיצור עברי              ; Geresh             ; Hebrew punctuation geresh
־     ; 05BE  ; punctuation  ; dash         ; מקף עברי           ; מקף מילים בעברית             ; Maqaf              ; Hebrew word connector
–     ; 2013  ; punctuation  ; dash         ; קו מחבר            ; מקף אמצעי לטווחים            ; En Dash            ; Range and connection dash
—     ; 2014  ; punctuation  ; dash         ; קו מפריד           ; מקף ארוך להפרדה              ; Em Dash            ; Long separating dash
…     ; 2026  ; punctuation  ; ellipsis     ; שלוש נקודות        ; סימן השמטת טקסט              ; Ellipsis           ; Text omission mark
«     ; 00AB  ; punctuation  ; quotation    ; גרש פותח           ; מרכאות זווית פותחות          ; Left Guillemet     ; Opening angle quote
»     ; 00BB  ; punctuation  ; quotation    ; גרש סוגר           ; מרכאות זווית סוגרות          ; Right Guillemet    ; Closing angle quote

# group: math-operators
# subgroup: basic
+     ; 002B  ; math         ; operator     ; פלוס               ; סימן חיבור                   ; Plus               ; Addition sign
−     ; 2212  ; math         ; operator     ; מינוס              ; סימן חיסור                   ; Minus              ; Subtraction sign
×     ; 00D7  ; math         ; operator     ; כפל                ; סימן הכפלה                   ; Multiply           ; Multiplication sign
÷     ; 00F7  ; math         ; operator     ; חילוק              ; סימן חלוקה                   ; Divide             ; Division sign
=     ; 003D  ; math         ; relation     ; שווה               ; סימן שוויון                  ; Equals             ; Equality sign
±     ; 00B1  ; math         ; operator     ; פלוס מינוס         ; חיובי או שלילי               ; Plus-Minus         ; Positive or negative
∓     ; 2213  ; math         ; operator     ; מינוס פלוס         ; שלילי או חיובי               ; Minus-Plus         ; Negative or positive

# subgroup: relations
≠     ; 2260  ; math         ; relation     ; לא שווה            ; סימן אי שוויון               ; Not Equal          ; Inequality sign
≈     ; 2248  ; math         ; relation     ; בערך שווה          ; שוויון משוער                 ; Approximately      ; Approximate equality
≡     ; 2261  ; math         ; relation     ; זהה ל              ; זהות מתמטית                  ; Identical          ; Identity sign
≢     ; 2262  ; math         ; relation     ; לא זהה             ; אי זהות                      ; Not Identical      ; Non-identity
<     ; 003C  ; math         ; relation     ; קטן מ              ; סימן קטן מ                   ; Less Than          ; Less than sign
>     ; 003E  ; math         ; relation     ; גדול מ             ; סימן גדול מ                  ; Greater Than       ; Greater than sign
≤     ; 2264  ; math         ; relation     ; קטן שווה           ; קטן או שווה                  ; Less Equal         ; Less than or equal
≥     ; 2265  ; math         ; relation     ; גדול שווה          ; גדול או שווה                 ; Greater Equal      ; Greater than or equal
≪     ; 226A  ; math         ; relation     ; קטן בהרבה          ; קטן משמעותית                 ; Much Less          ; Much less than
≫     ; 226B  ; math         ; relation     ; גדול בהרבה         ; גדול משמעותית                ; Much Greater       ; Much greater than
∝     ; 221D  ; math         ; relation     ; פרופורציוני        ; יחס ישר                      ; Proportional       ; Proportional to

# subgroup: constants
∞     ; 221E  ; math         ; constant     ; אינסוף             ; ערך אינסופי                  ; Infinity           ; Infinity symbol
π     ; 03C0  ; math         ; constant     ; פאי                ; יחס היקף לקוטר               ; Pi                 ; Circle ratio constant
φ     ; 03C6  ; math         ; constant     ; פי זהב             ; יחס הזהב                     ; Phi Golden         ; Golden ratio
ℯ     ; 212F  ; math         ; constant     ; אקספוננט           ; בסיס אקספוננציאלי            ; Script e           ; Exponential base
ℎ     ; 210E  ; math         ; constant     ; פלאנק              ; קבוע פלאנק                   ; Planck             ; Planck constant

# subgroup: operators
√     ; 221A  ; math         ; operator     ; שורש               ; שורש ריבועי                  ; Square Root        ; Square root
